River	Reach	Date	Group	Veg	Coverage
SMR	I35	04-2020	A	Other	0
SMR	I35	10-2020	A	Other	0
SMR	I35	04-2021	A	Other	107
SMR	I35	10-2021	A	Other	88
SMR	I35	04-2013	A	Potamogeton	0
SMR	I35	10-2013	A	Potamogeton	0
SMR	I35	04-2014	A	Potamogeton	0
SMR	I35	10-2014	A	Potamogeton	0
SMR	I35	04-2015	A	Potamogeton	0
SMR	I35	10-2015	A	Potamogeton	0
SMR	I35	04-2016	A	Potamogeton	0
SMR	I35	10-2016	A	Potamogeton	0
SMR	I35	04-2017	A	Potamogeton	17
SMR	I35	10-2017	A	Potamogeton	5
SMR	I35	04-2018	A	Potamogeton	0
SMR	I35	10-2018	A	Potamogeton	0
SMR	I35	04-2019	A	Potamogeton	0
SMR	I35	10-2019	A	Potamogeton	3
SMR	I35	04-2020	A	Potamogeton	0
SMR	I35	10-2020	A	Potamogeton	0
SMR	I35	04-2021	A	Potamogeton	0
SMR	I35	10-2021	A	Potamogeton	0
SMR	I35	04-2013	A	Sagittaria	11
SMR	I35	10-2013	A	Sagittaria	15
SMR	I35	04-2014	A	Sagittaria	257
SMR	I35	10-2014	A	Sagittaria	219
SMR	I35	04-2015	A	Sagittaria	212
SMR	I35	10-2015	A	Sagittaria	271
SMR	I35	04-2016	A	Sagittaria	328
SMR	I35	10-2016	A	Sagittaria	430
SMR	I35	04-2017	A	Sagittaria	433
SMR	I35	10-2017	A	Sagittaria	415
SMR	I35	04-2018	A	Sagittaria	495
SMR	I35	10-2018	A	Sagittaria	292
SMR	I35	04-2019	A	Sagittaria	363
SMR	I35	10-2019	A	Sagittaria	416
SMR	I35	04-2020	A	Sagittaria	465
SMR	I35	10-2020	A	Sagittaria	353
SMR	I35	04-2021	A	Sagittaria	353
SMR	I35	10-2021	A	Sagittaria	454
SMR	I35	04-2013	A	TWR	166
SMR	I35	10-2013	A	TWR	140
SMR	I35	04-2014	A	TWR	364
SMR	I35	10-2014	A	TWR	365
SMR	I35	04-2015	A	TWR	424
SMR	I35	10-2015	A	TWR	374
SMR	I35	04-2016	A	TWR	178
SMR	I35	10-2016	A	TWR	229
SMR	I35	04-2017	A	TWR	178
SMR	I35	10-2017	A	TWR	229
SMR	I35	04-2018	A	TWR	549
SMR	I35	10-2018	A	TWR	623
SMR	I35	04-2019	A	TWR	743
SMR	I35	10-2019	A	TWR	862
SMR	I35	04-2020	A	TWR	925
SMR	I35	10-2020	A	TWR	976
SMR	I35	04-2021	A	TWR	1013
SMR	I35	10-2021	A	TWR	949
SMR	I35	LTBG	A	Bryophyte	0
SMR	I35	LTBG	A	Cabomba	50
SMR	I35	LTBG	A	Hydrilla	0
SMR	I35	LTBG	A	Hydrocotyle	50
SMR	I35	LTBG	A	Hygrophila	0
SMR	I35	LTBG	A	Ludwigia	50
SMR	I35	LTBG	A	Other	0
SMR	I35	LTBG	A	Potamogeton	250
SMR	I35	LTBG	A	Sagittaria	150
SMR	I35	LTBG	A	TWR	600
